./lib/pivportal/cli.py,yaml_load,B506,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,271,33,45,[271],https://bandit.readthedocs.io/en/1.7.6/plugins/b506_yaml_load.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,48,8,94,[48],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,55,8,94,[55],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,60,8,40,[60],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,67,8,40,[67],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,73,8,40,[73],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,79,8,40,[79],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,85,8,40,[85],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,90,8,40,[90],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,95,8,40,[95],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,101,8,40,[101],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_pivportal.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,108,8,40,[108],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
